Week_Number,Week_Start,Week_End,Lookback_Start,Lookback_End,Information_Cutoff,Actual_Lookback_Days,Target_Lookback_Days,Trading_Days,Target_Trading_Days,Num_Selected_Pairs,Num_Filtered_Pairs,Pairs,Weekly_Profit_%,Transaction_Costs,Data_Coverage_%
33,2023-08-14,2023-08-18,2022-08-25,2023-08-11,2023-08-11,252,252,5,5,18,17,"['ADA-DOGE', 'DOGE-BCH', 'BCH-EOS', 'ETC-BCH', 'BCH-XRP', 'BTC-DOGE', 'ETC-BTC', 'BTC-ETH', 'BTC-ZCASH', 'DASH-DOGE', 'EOS-DASH', 'DASH-MATIC', 'ETC-DOGE', 'ETH-ZCASH', 'FIL-LINK', 'FIL-VET', 'LTC-ZCASH']",0.8815288543701172,0.017,100.0
34,2023-08-21,2023-08-25,2022-09-01,2023-08-18,2023-08-18,252,252,5,5,15,15,"['DOGE-ADA', 'AAVE-VET', 'BCH-DOGE', 'XRP-BCH', 'BTC-DOGE', 'BTC-ETH', 'DASH-DOGE', 'LINK-DASH', 'MATIC-DASH', 'EOS-VET', 'LINK-ETC', 'LINK-FIL', 'FIL-VET', 'LTC-XMR', 'XRP-TRX']",-0.15535354614257812,0.015,100.0
35,2023-08-28,2023-09-01,2022-09-08,2023-08-25,2023-08-25,252,252,5,5,27,26,"['ADA-DOGE', 'ADA-ETC', 'ETC-AAVE', 'LINK-AAVE', 'VET-AAVE', 'DOGE-BCH', 'ETC-BCH', 'LINK-BCH', 'BCH-XRP', 'BTC-DOGE', 'BTC-ETC', 'BTC-ETH', 'LINK-BTC', 'DASH-DOGE', 'DASH-EOS', 'DASH-ETC', 'LINK-DASH', 'MATIC-DASH', 'DOGE-ETC', 'VET-EOS', 'LINK-ETC', 'LINK-ETH', 'FIL-LINK', 'FIL-VET', 'XMR-LTC', 'XLM-XRP']",-0.2795994281768799,0.026000000000000002,100.0
36,2023-09-04,2023-09-08,2022-09-15,2023-09-01,2023-09-01,252,252,5,5,32,28,"['ADA-DOGE', 'AAVE-DOGE', 'AAVE-ETC', 'AAVE-LINK', 'ETC-BCH', 'XRP-BCH', 'BTC-DOGE', 'ETC-BTC', 'ETH-BTC', 'BTC-LINK', 'DASH-DOGE', 'DASH-EOS', 'DASH-ETC', 'DASH-LINK', 'DASH-MATIC', 'ETC-DOGE', 'ETC-EOS', 'MATIC-EOS', 'ETC-LINK', 'VET-ETC', 'XTZ-ETC', 'ETH-LINK', 'FIL-LINK', 'VET-FIL', 'XMR-LTC', 'XRP-TRX', 'ZCASH-TRX', 'XRP-XLM']",-0.22428631782531738,0.028,100.0
37,2023-09-11,2023-09-15,2022-09-22,2023-09-08,2023-09-08,252,252,5,5,25,24,"['ETC-AAVE', 'LINK-AAVE', 'VET-AAVE', 'BCH-DOGE', 'ETC-BCH', 'BCH-LINK', 'XRP-BCH', 'BTC-DOGE', 'BTC-LINK', 'DOGE-DASH', 'EOS-DASH', 'ETC-DASH', 'LINK-DASH', 'MATIC-DASH', 'ETC-DOGE', 'DOGE-LINK', 'MATIC-EOS', 'ETH-LINK', 'FIL-LINK', 'FIL-VET', 'LTC-XMR', 'XTZ-MATIC', 'TRX-XRP', 'ZCASH-TRX']",-0.07339119911193848,0.024,100.0
38,2023-09-18,2023-09-22,2022-09-29,2023-09-15,2023-09-15,252,252,5,5,28,27,"['ADA-DOGE', 'DOGE-AAVE', 'AAVE-ETC', 'AAVE-LINK', 'VET-AAVE', 'BCH-DOGE', 'BCH-ETC', 'BCH-LINK', 'BCH-XLM', 'BCH-XRP', 'BTC-DOGE', 'BTC-ETC', 'BTC-ETH', 'BTC-LINK', 'DOGE-DASH', 'ETC-DASH', 'MATIC-DASH', 'DOGE-ETC', 'DOGE-LINK', 'EOS-ETC', 'EOS-MATIC', 'ETH-LINK', 'FIL-LINK', 'VET-FIL', 'XMR-LTC', 'MATIC-XTZ', 'TRX-ZCASH']",-1.3109385967254639,0.027,100.0
39,2023-09-25,2023-09-29,2022-10-06,2023-09-22,2023-09-22,252,252,5,5,31,31,"['ADA-DOGE', 'DOGE-AAVE', 'VET-AAVE', 'BCH-DOGE', 'BCH-ETC', 'BCH-LINK', 'BCH-XLM', 'BCH-XRP', 'BTC-DOGE', 'ETC-BTC', 'ETH-BTC', 'BTC-LINK', 'DOGE-DASH', 'ETC-DASH', 'LINK-DASH', 'MATIC-DASH', 'ETC-DOGE', 'DOGE-LINK', 'DOGE-ZCASH', 'ETC-EOS', 'EOS-LINK', 'MATIC-EOS', 'VET-ETC', 'ETC-XTZ', 'ETH-LINK', 'VET-FIL', 'XMR-LTC', 'MATIC-XTZ', 'TRX-XRP', 'TRX-ZCASH', 'XRP-ZCASH']",0.5005717277526855,0.031,100.0
40,2023-10-02,2023-10-06,2022-10-13,2023-09-29,2023-09-29,252,252,5,5,32,30,"['ADA-DOGE', 'AAVE-DOGE', 'AAVE-VET', 'BCH-DOGE', 'BCH-ETC', 'BCH-LINK', 'XLM-BCH', 'BCH-XRP', 'BCH-XTZ', 'BTC-DOGE', 'BTC-ETH', 'BTC-LINK', 'DASH-DOGE', 'DASH-EOS', 'DASH-LINK', 'MATIC-DASH', 'DASH-XTZ', 'ETC-DOGE', 'DOGE-XTZ', 'DOGE-ZCASH', 'MATIC-EOS', 'EOS-XTZ', 'ETC-XTZ', 'FIL-LTC', 'FIL-VET', 'FIL-XTZ', 'LTC-XMR', 'MATIC-VET', 'MATIC-XTZ', 'ZCASH-XRP']",-0.461655855178833,0.03,100.0
41,2023-10-09,2023-10-13,2022-10-20,2023-10-06,2023-10-06,252,252,5,5,37,34,"['ADA-DOGE', 'ADA-XTZ', 'BCH-DOGE', 'BCH-LINK', 'XLM-BCH', 'XRP-BCH', 'BCH-XTZ', 'DOGE-BTC', 'ETH-BTC', 'LINK-BTC', 'DASH-DOGE', 'DASH-LINK', 'DASH-LTC', 'DASH-MATIC', 'DASH-VET', 'DASH-XTZ', 'EOS-DOGE', 'DOGE-ETC', 'TRX-DOGE', 'DOGE-XTZ', 'ZCASH-DOGE', 'EOS-LTC', 'EOS-MATIC', 'EOS-XTZ', 'ETC-LTC', 'ETC-XTZ', 'LTC-FIL', 'VET-FIL', 'LTC-XMR', 'MATIC-XTZ', 'ZCASH-MATIC', 'TRX-XTZ', 'ZCASH-TRX', 'ZCASH-XRP']",-0.38614869117736816,0.034,100.0
42,2023-10-16,2023-10-20,2022-10-27,2023-10-13,2023-10-13,252,252,5,5,37,32,"['ADA-LTC', 'LINK-AAVE', 'LTC-AAVE', 'DOGE-BCH', 'ETC-BCH', 'LINK-BCH', 'XLM-BCH', 'XRP-BCH', 'LINK-BTC', 'DASH-EOS', 'ETC-DASH', 'DASH-MATIC', 'XTZ-DASH', 'ETC-DOGE', 'ZCASH-DOGE', 'ETC-EOS', 'LTC-EOS', 'MATIC-EOS', 'EOS-XMR', 'XTZ-EOS', 'LTC-ETC', 'ETC-MATIC', 'XTZ-ETC', 'LTC-FIL', 'VET-FIL', 'LTC-VET', 'MATIC-XMR', 'XTZ-MATIC', 'ZCASH-MATIC', 'VET-XMR', 'XTZ-VET', 'XRP-ZCASH']",-0.4343271255493164,0.032,100.0
