"Date","Price","Open","High","Low","Vol.","Change %"
"08/21/2024","3.79","3.65","3.83","3.61","7.14M","3.58%"
"08/20/2024","3.65","3.62","3.70","3.56","5.61M","0.85%"
"08/19/2024","3.62","3.55","3.63","3.53","5.12M","2.03%"
"08/18/2024","3.55","3.57","3.63","3.51","3.51M","-0.39%"
"08/17/2024","3.57","3.50","3.58","3.48","2.84M","1.75%"
"08/16/2024","3.50","3.50","3.58","3.41","7.47M","0.00%"
"08/15/2024","3.50","3.58","3.68","3.43","8.10M","-2.27%"
"08/14/2024","3.58","3.70","3.73","3.55","6.86M","-3.23%"
"08/13/2024","3.70","3.74","3.77","3.60","6.87M","-0.85%"
"08/12/2024","3.74","3.49","3.78","3.47","8.48M","6.99%"
"08/11/2024","3.49","3.78","3.84","3.45","6.19M","-7.52%"
"08/10/2024","3.78","3.76","3.82","3.73","3.19M","0.56%"
"08/09/2024","3.76","3.83","3.86","3.70","6.17M","-1.82%"
"08/08/2024","3.83","3.35","3.83","3.30","11.58M","14.28%"
"08/07/2024","3.35","3.50","3.56","3.32","9.95M","-4.23%"
"08/06/2024","3.49","3.24","3.58","3.23","13.57M","7.72%"
"08/05/2024","3.24","3.53","3.56","2.89","60.33M","-7.97%"
"08/04/2024","3.53","3.69","3.77","3.40","11.13M","-4.37%"
"08/03/2024","3.69","3.87","3.95","3.60","9.36M","-4.64%"
"08/02/2024","3.87","4.16","4.19","3.83","10.60M","-7.18%"
"08/01/2024","4.17","4.21","4.29","3.90","12.24M","-0.96%"
"07/31/2024","4.21","4.33","4.37","4.18","5.48M","-2.82%"
"07/30/2024","4.33","4.44","4.52","4.25","5.13M","-2.46%"
"07/29/2024","4.44","4.45","4.64","4.41","6.67M","-0.19%"
"07/28/2024","4.44","4.57","4.64","4.40","5.14M","-2.85%"
"07/27/2024","4.58","4.64","4.67","4.53","9.34M","-1.47%"
"07/26/2024","4.64","4.20","4.71","4.19","11.77M","10.44%"
"07/25/2024","4.20","4.27","4.29","4.05","8.72M","-1.50%"
"07/24/2024","4.27","4.45","4.54","4.22","5.35M","-4.19%"
"07/23/2024","4.45","4.51","4.60","4.34","7.16M","-1.12%"
"07/22/2024","4.51","4.78","4.82","4.48","7.69M","-5.64%"
"07/21/2024","4.77","4.71","4.80","4.51","6.95M","1.30%"
"07/20/2024","4.71","4.65","4.78","4.58","7.05M","1.27%"
"07/19/2024","4.65","4.39","4.71","4.31","9.00M","6.13%"
"07/18/2024","4.39","4.55","4.65","4.31","8.22M","-3.67%"
"07/17/2024","4.55","4.53","4.83","4.49","12.76M","0.41%"
"07/16/2024","4.53","4.45","4.61","4.24","11.86M","2.00%"
"07/15/2024","4.45","4.27","4.46","4.21","9.27M","4.21%"
"07/14/2024","4.27","4.28","4.34","4.19","6.08M","-0.29%"
"07/13/2024","4.28","4.12","4.31","4.09","7.00M","3.95%"
"07/12/2024","4.12","4.08","4.14","3.96","7.97M","0.97%"
"07/11/2024","4.08","3.97","4.23","3.95","10.72M","2.55%"
"07/10/2024","3.97","3.91","3.99","3.84","5.93M","1.52%"
"07/09/2024","3.91","3.82","3.95","3.76","6.19M","2.40%"
"07/08/2024","3.82","3.63","3.93","3.46","13.81M","5.24%"
"07/07/2024","3.63","3.98","3.98","3.61","7.16M","-8.61%"
"07/06/2024","3.98","3.54","4.01","3.51","9.25M","12.15%"
"07/05/2024","3.54","3.78","3.78","3.28","25.18M","-6.25%"
"07/04/2024","3.78","4.10","4.13","3.78","11.66M","-7.69%"
"07/03/2024","4.10","4.42","4.44","4.06","8.58M","-7.23%"
"07/02/2024","4.42","4.33","4.46","4.31","4.83M","1.89%"
"07/01/2024","4.33","4.48","4.56","4.33","5.98M","-3.16%"
"06/30/2024","4.48","4.35","4.50","4.30","4.40M","2.97%"
"06/29/2024","4.35","4.38","4.45","4.33","3.38M","-0.88%"
"06/28/2024","4.38","4.51","4.58","4.38","5.91M","-2.69%"
"06/27/2024","4.51","4.40","4.53","4.29","5.16M","2.52%"
"06/26/2024","4.40","4.44","4.50","4.33","5.28M","-1.10%"
"06/25/2024","4.44","4.40","4.52","4.37","6.62M","0.91%"
"06/24/2024","4.40","4.29","4.41","4.08","14.90M","2.54%"
"06/23/2024","4.29","4.38","4.48","4.23","5.35M","-2.06%"
"06/22/2024","4.38","4.40","4.44","4.34","3.11M","-0.24%"
"06/21/2024","4.40","4.41","4.45","4.27","6.76M","-0.25%"
"06/20/2024","4.41","4.44","4.62","4.32","7.63M","-0.70%"
"06/19/2024","4.44","4.35","4.50","4.30","8.22M","1.90%"
"06/18/2024","4.35","4.93","4.94","4.17","25.09M","-11.58%"
"06/17/2024","4.93","5.24","5.27","4.75","12.42M","-6.10%"
"06/16/2024","5.24","5.23","5.29","5.13","3.47M","0.37%"
"06/15/2024","5.23","5.09","5.36","5.09","6.62M","2.56%"
"06/14/2024","5.10","5.38","5.47","4.96","10.94M","-5.29%"
"06/13/2024","5.38","5.65","5.69","5.30","9.82M","-4.86%"
"06/12/2024","5.65","5.39","5.74","5.22","14.40M","5.01%"
"06/11/2024","5.38","5.79","5.81","5.30","15.15M","-7.05%"
"06/10/2024","5.79","6.13","6.15","5.73","12.48M","-5.43%"
"06/09/2024","6.13","6.05","6.36","6.01","11.27M","1.17%"
"06/08/2024","6.05","6.11","6.46","5.99","19.62M","-0.97%"
"06/07/2024","6.11","5.96","6.74","5.77","34.00M","2.66%"
"06/06/2024","5.96","6.08","6.09","5.86","6.17M","-1.97%"
"06/05/2024","6.08","5.96","6.10","5.95","6.92M","1.85%"
"06/04/2024","5.96","5.79","6.05","5.72","7.53M","3.09%"
"06/03/2024","5.79","5.81","5.96","5.75","7.19M","-0.35%"
"06/02/2024","5.81","5.80","5.87","5.70","5.14M","0.19%"
"06/01/2024","5.80","5.73","5.82","5.71","2.60M","0.89%"
"05/31/2024","5.74","5.81","5.85","5.65","5.36M","-1.21%"
